"","CPG","WEIGHT","P","gene","TRAIT"
"1078","cg03254465",-0.013,9.5e-09,"PRDM16","mSmoking"
"1086","cg08350047",0.009,1.02e-08,"-","mSmoking"
"1087","cg26580413",-0.009,1.02e-08,"FTO","mSmoking"
"1088","cg20496314",-0.007,1.04e-08,"SYNGR1","mSmoking"
"1090","cg15735240",-0.007,1.06e-08,"MRPS18B;PPP1R10","mSmoking"
"1094","cg14706297",0.015,1.08e-08,"-","mSmoking"
"1095","cg27268279",0.009,1.09e-08,"COL13A1","mSmoking"
"1098","cg18621256",-0.01,1.12e-08,"-","mSmoking"
"1099","cg22715761",0.014,1.12e-08,"LDB3","mSmoking"
"1101","cg09523275",0.009,1.13e-08,"NKAPL","mSmoking"
"1102","cg12608507",-0.01,1.15e-08,"EEF1B2;SNORD51;NDUFS1;SNORA41","mSmoking"
"1111","cg08699196",0.006,1.22e-08,"ITGB7","mSmoking"
"1120","cg12756718",-0.004,1.28e-08,"-","mSmoking"
"1122","cg23680900",0.003,1.3e-08,"CYP1A1","mSmoking"
"1125","cg11025974",0.008,1.33e-08,"CACNB4","mSmoking"
"1126","cg20244273",-0.008,1.33e-08,"PPFIBP2","mSmoking"
"1131","cg18649503",0.011,1.35e-08,"LOC222699","mSmoking"
"1133","cg06749872",-0.006,1.36e-08,"CORO1A;LOC606724","mSmoking"
"1142","cg19248564",-0.005,1.44e-08,"CYB5R3","mSmoking"
"1145","cg07827420",-0.006,1.48e-08,"SEPT9","mSmoking"
"1149","cg08293324",0.009,1.56e-08,"THBS1","mSmoking"
"1151","cg21370924",0.012,1.57e-08,"ZBTB38","mSmoking"
"1155","cg25263801",0.013,1.58e-08,"GPR85","mSmoking"
"1157","cg01924435",0.009,1.59e-08,"-","mSmoking"
"1160","cg13422817",0.007,1.6e-08,"FGF6","mSmoking"
"1164","cg22572362",-0.013,1.63e-08,"SLC9A3","mSmoking"
"1165","cg16052901",-0.011,1.63e-08,"VPS52;RPS18","mSmoking"
"1166","cg01081584",0.011,1.63e-08,"EIF2AK4","mSmoking"
"1168","cg20131968",-0.008,1.64e-08,"CCDC47","mSmoking"
"1171","cg04388657",-0.01,1.66e-08,"RPL35","mSmoking"
"1174","cg04859117",-0.005,1.67e-08,"LOC100133545","mSmoking"
"1177","cg18299068",-0.008,1.69e-08,"MAEA","mSmoking"
"1178","cg24513387",-0.007,1.69e-08,"-","mSmoking"
"1180","cg12202185",-0.007,1.71e-08,"AHRR","mSmoking"
"1183","cg21721340",-0.01,1.75e-08,"SOX18","mSmoking"
"1188","cg18036081",-0.006,1.8e-08,"EMID1","mSmoking"
"1189","cg06457408",-0.005,1.81e-08,"ARHGDIA","mSmoking"
"1191","cg17113856",0.013,1.83e-08,"PPT2;PRRT1","mSmoking"
"1192","cg21587372",-0.011,1.83e-08,"SNRNP70","mSmoking"
"1195","cg03434029",-0.007,1.86e-08,"TCTEX1D4;BTBD19","mSmoking"
"1198","cg26640901",-0.006,1.87e-08,"C10orf26","mSmoking"
"1199","cg19291696",0.005,1.88e-08,"-","mSmoking"
"1204","cg13468961",0.01,1.9e-08,"MAP1D","mSmoking"
"1205","cg10309769",0.008,1.91e-08,"-","mSmoking"
"1208","cg01741041",-0.005,1.97e-08,"ACTB","mSmoking"
"1211","cg20595752",0.013,1.99e-08,"TEAD3","mSmoking"
"1212","cg24535176",0.013,2e-08,"EYA4","mSmoking"
"1213","cg17199018",-0.011,2e-08,"ZNF395","mSmoking"
"1222","cg19512582",0.019,2.09e-08,"-","mSmoking"
"1224","cg21516291",-0.007,2.1e-08,"SLC35C2","mSmoking"
"1225","cg26283141",-0.009,2.11e-08,"VPS52;RPS18","mSmoking"
"1235","cg27383418",0.007,2.2e-08,"-","mSmoking"
"1236","cg22670033",0.015,2.21e-08,"-","mSmoking"
"1239","cg03450842",-0.007,2.22e-08,"ZMIZ1","mSmoking"
"1241","cg21167135",-0.006,2.27e-08,"WNK2","mSmoking"
"1242","cg11097968",0.009,2.27e-08,"-","mSmoking"
"1247","cg12795893",-0.007,2.33e-08,"ATP5B;SNORD59B","mSmoking"
"1249","cg08683263",-0.007,2.34e-08,"ALDOA","mSmoking"
"1251","cg21946195",-0.008,2.37e-08,"ATOH8","mSmoking"
"1253","cg00508575",0.008,2.39e-08,"ATP2B1","mSmoking"
"1254","cg16565409",-0.015,2.41e-08,"RPL23A;SNORD4A","mSmoking"
"1256","cg23161492",-0.007,2.43e-08,"ANPEP","mSmoking"
"1261","cg18331412",0.011,2.48e-08,"TGFBI","mSmoking"
"1262","cg11348106",0.013,2.48e-08,"SEC14L1","mSmoking"
"1264","cg24533564",-0.005,2.5e-08,"PNKD;TMBIM1","mSmoking"
"1265","cg17128799",0.007,2.52e-08,"PANK4","mSmoking"
"1270","cg27068095",0.006,2.56e-08,"PRRT1","mSmoking"
"1271","cg05460226",-0.008,2.57e-08,"PIK3R5","mSmoking"
"1272","cg00054774",-0.013,2.59e-08,"C2CD2","mSmoking"
"1275","cg27664689",0.011,2.62e-08,"CACNB4","mSmoking"
"1277","cg09743950",-0.011,2.64e-08,"ITGAM","mSmoking"
"1281","cg02956248",0.023,2.69e-08,"PPT2;PRRT1","mSmoking"
"1282","cg06369322",-0.006,2.7e-08,"CCDC33","mSmoking"
"1287","cg11554391",-0.005,2.75e-08,"AHRR","mSmoking"
"1289","cg22500876",0.011,2.78e-08,"-","mSmoking"
"1293","cg11069430",0.012,2.81e-08,"USP44","mSmoking"
"1299","cg09490007",0.006,2.88e-08,"TFEB","mSmoking"
"1300","cg04252928",-0.017,2.89e-08,"ACSF3","mSmoking"
"1308","cg13411554",0.011,2.94e-08,"CACNA1D","mSmoking"
"1314","cg10828401",-0.004,3.04e-08,"PTBP1","mSmoking"
"1316","cg25632883",-0.012,3.08e-08,"SSH1","mSmoking"
"1321","cg00522048",-0.009,3.25e-08,"GRK5","mSmoking"
"1326","cg08531140",0.009,3.28e-08,"LOC100130987;CLCF1","mSmoking"
"1328","cg15175162",0.014,3.31e-08,"FBXL5","mSmoking"
"1329","cg17560073",0.011,3.32e-08,"-","mSmoking"
"1331","cg07902156",-0.008,3.34e-08,"LPCAT1","mSmoking"
"1343","cg12186702",0.005,3.46e-08,"PLVAP","mSmoking"
"1348","cg02232751",-0.006,3.68e-08,"LDHA","mSmoking"
"1349","cg25618424",-0.009,3.7e-08,"PRDM16","mSmoking"
"1350","cg20328456",0.012,3.71e-08,"PPT2;PRRT1","mSmoking"
"1351","cg24910943",-0.003,3.71e-08,"CUGBP2","mSmoking"
"1352","cg20255370",0.016,3.72e-08,"EIF2AK4","mSmoking"
"1353","cg09244707",-0.007,3.74e-08,"-","mSmoking"
"1354","cg01878708",0.014,3.75e-08,"-","mSmoking"
"1357","cg20954893",-0.008,3.77e-08,"GREB1","mSmoking"
"1359","cg03467001",0.008,3.8e-08,"RGL1","mSmoking"
"1360","cg04232972",-0.007,3.82e-08,"-","mSmoking"
"1362","cg26675395",0.013,3.84e-08,"PRSS36","mSmoking"
"1364","cg14074174",-0.006,3.85e-08,"SNAPC2","mSmoking"
"1368","cg02256631",-0.006,3.9e-08,"ITGAM","mSmoking"
"1373","cg01595870",0.009,3.98e-08,"PLAGL1","mSmoking"
"1374","cg14359052",0.014,4.01e-08,"PRDM1","mSmoking"
"1376","cg10704395",-0.007,4.02e-08,"CAMK1D","mSmoking"
"1377","cg18716210",-0.007,4.03e-08,"LOC100133545","mSmoking"
"1378","cg05273302",-0.008,4.04e-08,"C19orf36;MOBKL2A","mSmoking"
"1380","cg04235768",-0.013,4.06e-08,"PRDM8","mSmoking"
"1381","cg25235958",0.008,4.08e-08,"-","mSmoking"
"1382","cg05452645",-0.021,4.12e-08,"PRDM8","mSmoking"
"1384","cg20117519",0.016,4.21e-08,"-","mSmoking"
"1385","cg15014975",-0.012,4.24e-08,"RUNX3","mSmoking"
"1386","cg17501982",-0.005,4.25e-08,"NCK2","mSmoking"
"1387","cg13594903",-0.004,4.31e-08,"STOML2","mSmoking"
"1388","cg13493048",-0.01,4.31e-08,"VENTX","mSmoking"
"1389","cg08026735",0.008,4.32e-08,"VWA3B","mSmoking"
"1390","cg20592017",0.019,4.32e-08,"-","mSmoking"
"1391","cg16231923",0.012,4.33e-08,"NPTN","mSmoking"
"1393","cg18722086",0.004,4.39e-08,"KIAA2018","mSmoking"
"1399","cg01120509",-0.007,4.5e-08,"WDR90;FAM195A","mSmoking"
"1402","cg02354563",0.013,4.56e-08,"SLC9A3","mSmoking"
"1408","cg11064524",-0.01,4.66e-08,"EXT1","mSmoking"
"1409","cg23359665",0.02,4.68e-08,"PPT2;PRRT1","mSmoking"
"1411","cg20099806",-0.01,4.7e-08,"CCDC47","mSmoking"
"1415","cg21006256",-0.006,4.74e-08,"-","mSmoking"
"1416","cg12322672",0.008,4.75e-08,"KIRREL3","mSmoking"
"1419","cg07249149",-0.01,4.83e-08,"-","mSmoking"
"1423","cg14301190",0.011,4.89e-08,"PRSS36","mSmoking"
"1426","cg19675142",0.01,4.92e-08,"-","mSmoking"
"1427","cg08849628",0.015,4.92e-08,"-","mSmoking"
"1430","cg02215171",0.007,4.93e-08,"HERC5","mSmoking"
"1436","cg08979515",0.019,5.01e-08,"ABHD10","mSmoking"
"1437","cg14351425",0.008,5.01e-08,"GRK5","mSmoking"
"1442","cg17546623",0.007,5.1e-08,"-","mSmoking"
"1443","cg26179134",0.009,5.11e-08,"DTNB","mSmoking"
"1444","cg14703002",0.006,5.11e-08,"HIST1H1A","mSmoking"
"1446","cg02251243",-0.006,5.12e-08,"-","mSmoking"
"1447","cg27242132",-0.021,5.14e-08,"PRDM8","mSmoking"
"1451","cg11701312",-0.006,5.15e-08,"RPS5","mSmoking"
"1455","cg03185622",-0.005,5.25e-08,"DLGAP2","mSmoking"
"1457","cg24116965",0.009,5.33e-08,"ARHGAP10","mSmoking"
"1458","cg10583311",-0.006,5.33e-08,"FBRSL1","mSmoking"
"1459","cg09288789",0.017,5.37e-08,"CNKSR3","mSmoking"
"1464","cg27295595",0.009,5.41e-08,"-","mSmoking"
"1466","cg06943627",0.007,5.52e-08,"NGFR","mSmoking"
"1467","cg14397120",-0.006,5.54e-08,"-","mSmoking"
"1468","cg18680834",0.011,5.54e-08,"ZNF536","mSmoking"
"1469","cg16040614",0.007,5.56e-08,"PRRT1","mSmoking"
"1470","cg04865726",0.013,5.59e-08,"-","mSmoking"
"1479","cg26191447",0.009,5.78e-08,"-","mSmoking"
"1486","cg19515245",0.006,5.93e-08,"-","mSmoking"
"1487","cg05332854",0.01,5.94e-08,"-","mSmoking"
"1491","cg02404974",0.012,6.01e-08,"-","mSmoking"
"1492","cg03359095",0.015,6.06e-08,"C20orf151","mSmoking"
"1495","cg24516362",0.005,6.15e-08,"SV2B","mSmoking"
"1497","cg06373870",-0.016,6.36e-08,"PRDM8","mSmoking"
"1500","cg03127898",0.008,6.38e-08,"LRRN4CL","mSmoking"
"1501","cg20179907",-0.009,6.43e-08,"PDE2A","mSmoking"
"1504","cg12550731",0.008,6.46e-08,"C1orf21","mSmoking"
"1507","cg01264106",0.007,6.5e-08,"LGALS1","mSmoking"
"1511","cg00868766",0.013,6.56e-08,"-","mSmoking"
"1514","cg10974463",0.008,6.6e-08,"NFATC4","mSmoking"
"1517","cg11217193",-0.009,6.69e-08,"VPS13D","mSmoking"
"1519","cg10576725",0.007,6.74e-08,"MMP14","mSmoking"
"1520","cg13038618",-0.009,6.82e-08,"-","mSmoking"
"1522","cg22778120",-0.011,6.88e-08,"PRR5","mSmoking"
"1526","cg23553912",0.017,7e-08,"SCHIP1","mSmoking"
"1527","cg09479241",-0.007,7.01e-08,"TLCD1","mSmoking"
"1536","cg01101782",0.018,7.19e-08,"KDM5B","mSmoking"
"1537","cg02936049",-0.01,7.19e-08,"ZBTB38","mSmoking"
"1539","cg19154116",-0.006,7.25e-08,"CYP21A2","mSmoking"
"1543","cg01261194",-0.006,7.32e-08,"PRDM16","mSmoking"
"1546","cg14541011",-0.006,7.41e-08,"RALGDS","mSmoking"
"1548","cg15238694",-0.011,7.44e-08,"LOC144742","mSmoking"
"1549","cg16794579",-0.008,7.45e-08,"XYLT1","mSmoking"
"1550","cg23556923",-0.006,7.47e-08,"LOC146880","mSmoking"
"1553","cg12828729",0.005,7.56e-08,"-","mSmoking"
"1555","cg14629055",0.006,7.62e-08,"ANKRD33B","mSmoking"
"1556","cg06108383",0.012,7.65e-08,"PPT2;PRRT1","mSmoking"
"1558","cg18468796",-0.006,7.71e-08,"CCDC33","mSmoking"
"1563","cg10592521",-0.009,7.84e-08,"MEX3D","mSmoking"
"1564","cg13828047",-0.007,7.95e-08,"MPI","mSmoking"
"1565","cg00982521",0.02,7.99e-08,"-","mSmoking"
"1567","cg12729894",-0.006,8.04e-08,"HCCA2;CTSD","mSmoking"
"1568","cg04359418",0.011,8.06e-08,"-","mSmoking"
"1570","cg12187687",-0.013,8.1e-08,"-","mSmoking"
"1571","cg14207833",-0.009,8.11e-08,"UPF1","mSmoking"
"1579","cg13851767",0.007,8.23e-08,"-","mSmoking"
"1581","cg19484305",0.011,8.26e-08,"-","mSmoking"
"1582","cg17987384",0.01,8.27e-08,"FLJ40504","mSmoking"
"1589","cg00769810",0.006,8.49e-08,"-","mSmoking"
"1594","cg22721579",-0.013,8.69e-08,"FAM176B","mSmoking"
"1599","cg11621113",-0.006,8.97e-08,"MORG1;MAN2B1","mSmoking"
"1600","cg17333886",-0.011,8.98e-08,"DIP2C","mSmoking"
"1604","cg01020413",0.007,9.13e-08,"-","mSmoking"
"1605","cg15616915",-0.007,9.13e-08,"CTDSP1;MIR26B","mSmoking"
"1607","cg00121876",-0.018,9.14e-08,"-","mSmoking"
"1608","cg24698536",-0.008,9.21e-08,"SSH1","mSmoking"
"1612","cg00592643",0.01,9.32e-08,"BTBD3","mSmoking"
"1615","cg23184042",0.014,9.45e-08,"DLX6AS","mSmoking"
"1618","cg00496272",-0.004,9.52e-08,"CENPT;THAP11","mSmoking"
"1624","cg26737640",-0.005,9.65e-08,"CD70","mSmoking"
"1629","cg04551776",-0.007,9.79e-08,"AHRR","mSmoking"
"1632","cg00376553",-0.01,9.93e-08,"TSC22D4","mSmoking"
"1633","cg15946312",0.013,9.96e-08,"-","mSmoking"
"1641","cg12444861",0.007,1.02e-07,"PLAGL1","mSmoking"
"1642","cg20494635",-0.007,1.02e-07,"LOC100133545","mSmoking"
"1643","cg23141902",-0.007,1.02e-07,"RPL3;SNORD83A","mSmoking"
"1645","cg26811385",0.009,1.03e-07,"-","mSmoking"
"1647","cg17586885",-0.009,1.04e-07,"-","mSmoking"
"1648","cg07397493",-0.008,1.04e-07,"LOC100133545","mSmoking"
"1649","cg02218768",-0.002,1.04e-07,"ZBTB7A","mSmoking"
"1655","cg22908922",-0.008,1.06e-07,"PACS2","mSmoking"
"1656","cg25404375",0.012,1.06e-07,"IGF1R","mSmoking"
"1658","cg25648203",-0.005,1.07e-07,"AHRR","mSmoking"
"1668","cg07167185",-0.004,1.12e-07,"LYPLA2","mSmoking"
"1669","cg02356435",0.01,1.12e-07,"PLCL2","mSmoking"
"1672","cg20642413",-0.005,1.13e-07,"ZGPAT;ARFRP1","mSmoking"
"1678","cg06949812",0.008,1.17e-07,"GJD3","mSmoking"
"1681","cg05568941",0.01,1.18e-07,"GJD3","mSmoking"
"1684","cg23902550",-0.004,1.19e-07,"EEF1D;TIGD5","mSmoking"
"1686","cg08950537",0.014,1.2e-07,"RBP4","mSmoking"
"1693","cg09671837",0.008,1.21e-07,"FAM115A","mSmoking"
"1699","cg13459104",0.003,1.22e-07,"-","mSmoking"
"1700","cg01297180",-0.008,1.22e-07,"-","mSmoking"
"1704","cg05034603",-0.005,1.23e-07,"SLC2A1","mSmoking"
"1708","cg27619353",0.007,1.24e-07,"LGALS1","mSmoking"
"1710","cg04404543",-0.007,1.25e-07,"ATF7","mSmoking"
"1715","cg21024112",0.009,1.26e-07,"-","mSmoking"
"1718","cg21436544",-0.006,1.27e-07,"-","mSmoking"
"1722","cg20516209",-0.009,1.29e-07,"EMILIN1","mSmoking"
"1723","cg05065239",0.005,1.29e-07,"-","mSmoking"
"1727","cg02742969",0.006,1.31e-07,"-","mSmoking"
"1728","cg01083131",-0.007,1.31e-07,"THAP11;CENPT","mSmoking"
"1731","cg04662609",0.009,1.32e-07,"-","mSmoking"
"1732","cg03373393",-0.003,1.32e-07,"HAP1","mSmoking"
"1737","cg25636159",-0.005,1.36e-07,"ADSL","mSmoking"
"1742","cg12179288",-0.01,1.38e-07,"ANKH","mSmoking"
"1744","cg13839439",0.009,1.39e-07,"-","mSmoking"
"1748","cg17478203",-0.006,1.41e-07,"STAT5A","mSmoking"
"1757","cg12350863",0.008,1.44e-07,"GPR160","mSmoking"
"1758","cg07955064",0.01,1.44e-07,"-","mSmoking"
"1761","cg21378403",0.009,1.45e-07,"PDZD7","mSmoking"
"1762","cg06154311",0.018,1.45e-07,"C20orf151","mSmoking"
"1766","cg13451356",0.013,1.48e-07,"-","mSmoking"
"1767","cg21577836",0.007,1.48e-07,"TNR","mSmoking"
"1768","cg15700009",-0.007,1.48e-07,"LDHA","mSmoking"
"1772","cg05598919",0.006,1.49e-07,"NACAD","mSmoking"
"1773","cg06105699",-0.008,1.5e-07,"ASPSCR1","mSmoking"
"1776","cg11868728",0.007,1.51e-07,"-","mSmoking"
"1781","cg21788755",-0.005,1.53e-07,"TREX1","mSmoking"
"1784","cg16127683",0.014,1.55e-07,"EIF2AK4","mSmoking"
"1785","cg03395188",-0.006,1.56e-07,"CTDSP1;MIR26B","mSmoking"
"1786","cg16172278",0.003,1.56e-07,"AHRR","mSmoking"
"1787","cg09370806",-0.01,1.56e-07,"-","mSmoking"
"1790","cg01397050",0.014,1.58e-07,"-","mSmoking"
"1791","cg07796597",-0.009,1.58e-07,"-","mSmoking"
"1792","cg16793370",0.009,1.58e-07,"-","mSmoking"
"1794","cg20331155",-0.007,1.59e-07,"LSP1","mSmoking"
"1795","cg01803461",0.007,1.59e-07,"-","mSmoking"
"1799","cg12097989",-0.009,1.6e-07,"CAMTA1","mSmoking"
"1800","cg16171534",0.006,1.6e-07,"CCDC71","mSmoking"
"1801","cg07985890",-0.022,1.6e-07,"NEAT1","mSmoking"
"1803","cg10857774",-0.01,1.62e-07,"DMPK;DMWD","mSmoking"
"1807","cg24373187",-0.006,1.63e-07,"CYB5RL;MRPL37","mSmoking"
"1817","cg22618924",0.004,1.68e-07,"-","mSmoking"
"1825","cg03043406",-0.01,1.72e-07,"RPS8;SNORD38A","mSmoking"
"1826","cg09173378",-0.007,1.72e-07,"KCNT2","mSmoking"
"1827","cg13083057",-0.006,1.72e-07,"-","mSmoking"
"1832","cg02843201",0.006,1.75e-07,"VWA3A","mSmoking"
"1833","cg05007126",-0.005,1.78e-07,"SDCBP2","mSmoking"
"1835","cg04478905",-0.008,1.8e-07,"CLDN14","mSmoking"
"1839","cg15892650",-0.005,1.81e-07,"ANXA6","mSmoking"
"1847","cg26122451",0.009,1.84e-07,"-","mSmoking"
"1849","cg01745789",0.012,1.85e-07,"-","mSmoking"
"1850","cg14126392",-0.005,1.85e-07,"NACC2","mSmoking"
"1851","cg15302032",0.015,1.85e-07,"NTM","mSmoking"
"1852","cg14508777",0.009,1.86e-07,"HIGD1A","mSmoking"
"1853","cg00851377",0.014,1.86e-07,"GPR85","mSmoking"
"1854","cg09718037",0.009,1.87e-07,"-","mSmoking"
"1857","cg17886420",0.028,1.89e-07,"-","mSmoking"
"1859","cg24239148",0.005,1.9e-07,"C10orf107","mSmoking"
"1861","cg03293507",0.009,1.91e-07,"RNF39","mSmoking"
"1868","cg18780100",0.008,1.97e-07,"RPTOR","mSmoking"
"1870","cg25820062",-0.006,1.99e-07,"HSPA12B","mSmoking"
"1872","cg12779520",-0.005,2e-07,"CD6","mSmoking"
"1884","cg24688690",-0.006,2.06e-07,"AHRR","mSmoking"
"1886","cg22192489",-0.007,2.08e-07,"-","mSmoking"
"1887","cg15630458",0.013,2.09e-07,"-","mSmoking"
"1888","cg01520588",0.007,2.1e-07,"-","mSmoking"
"1889","cg02098565",-0.007,2.1e-07,"ACSF3","mSmoking"
"1894","cg06991974",-0.004,2.14e-07,"FLJ42875","mSmoking"
"1895","cg06307913",-0.018,2.14e-07,"PRDM8","mSmoking"
"1896","cg19563365",0.005,2.14e-07,"-","mSmoking"
"1898","cg11416811",0.007,2.16e-07,"C10orf107","mSmoking"
"1901","cg23146472",0.008,2.17e-07,"TTBK1","mSmoking"
"1905","cg07106927",-0.006,2.2e-07,"LY9","mSmoking"
"1906","cg03142697",0.007,2.2e-07,"RUNX1","mSmoking"
"1914","cg11672277",0.011,2.24e-07,"MAPRE2","mSmoking"
"1929","cg05017829",-0.005,2.32e-07,"GPRIN1","mSmoking"
"1931","cg16704246",-0.006,2.34e-07,"RBM20","mSmoking"
"1932","cg08742502",0.014,2.35e-07,"PRDM1","mSmoking"
"1935","cg18561976",-0.011,2.36e-07,"ICOS","mSmoking"
"1936","cg09795979",0.007,2.38e-07,"SYT13","mSmoking"
"1937","cg12233463",0.012,2.38e-07,"-","mSmoking"
"1940","cg10551329",0.014,2.42e-07,"PPT2;PRRT1","mSmoking"
"1942","cg15836046",0.005,2.43e-07,"-","mSmoking"
"1944","cg13891539",0.012,2.46e-07,"-","mSmoking"
"1948","cg14830003",0.006,2.5e-07,"DNALI1","mSmoking"
"1952","cg27579313",-0.01,2.53e-07,"ZBTB4","mSmoking"
"1953","cg04858586",0.006,2.54e-07,"RABGAP1L","mSmoking"
"1955","cg26208507",0.01,2.57e-07,"-","mSmoking"
"1959","cg06685437",-0.006,2.6e-07,"RAI1","mSmoking"
"1968","cg20426959",0.005,2.64e-07,"-","mSmoking"
"1969","cg10254692",0.007,2.64e-07,"PLAGL1","mSmoking"
"1972","cg24173182",0.013,2.66e-07,"HIC1","mSmoking"
"1980","cg13067553",0.013,2.72e-07,"-","mSmoking"
"1981","cg23408104",-0.007,2.72e-07,"-","mSmoking"
"1984","cg16092017",0.004,2.73e-07,"-","mSmoking"
"1985","cg06137072",0.008,2.75e-07,"ZBTB38","mSmoking"
"1986","cg12616487",-0.005,2.75e-07,"ROM1;EML3","mSmoking"
"1988","cg11864574",-0.013,2.76e-07,"SPAG6","mSmoking"
"1989","cg01401641",-0.011,2.76e-07,"TSHZ3","mSmoking"
"1990","cg14485097",0.01,2.77e-07,"-","mSmoking"
"1992","cg14381677",0.011,2.81e-07,"KDM5B","mSmoking"
"1993","cg26963277",-0.004,2.81e-07,"KCNQ1OT1;KCNQ1","mSmoking"
"1995","cg20217702",-0.008,2.83e-07,"AMOTL2","mSmoking"
"1996","cg08327744",-0.008,2.83e-07,"RNF122","mSmoking"
"1997","cg27642528",-0.006,2.83e-07,"GLUD1","mSmoking"
"1999","cg07815836",0.008,2.84e-07,"ZNF274","mSmoking"
"2003","cg10169462",-0.01,2.86e-07,"-","mSmoking"
"2006","cg01832549",-0.009,2.87e-07,"CAPZB","mSmoking"
"2009","cg12443001",0.007,2.91e-07,"-","mSmoking"
"2016","cg11029191",0.006,2.97e-07,"SIGLEC15","mSmoking"
"2019","cg17416793",-0.008,3e-07,"KCNQ1","mSmoking"
"2022","cg23058037",0.013,3.01e-07,"VIPR2","mSmoking"
"2030","cg11647108",0.006,3.06e-07,"-","mSmoking"
"2031","cg14001239",-0.012,3.06e-07,"SVIL","mSmoking"
"2034","cg20066188",-0.007,3.08e-07,"CYTH4","mSmoking"
"2036","cg19399165",-0.006,3.1e-07,"EMILIN1","mSmoking"
"2037","cg25560443",-0.009,3.1e-07,"KLHL29","mSmoking"
"2038","cg23050437",0.007,3.1e-07,"RAMP3","mSmoking"
"2039","cg26053066",-0.006,3.1e-07,"WNK2","mSmoking"
"2042","cg15880704",-0.005,3.13e-07,"RBM20","mSmoking"
"2044","cg17442776",0.007,3.14e-07,"-","mSmoking"
"2045","cg06994420",-0.008,3.14e-07,"MEIS1","mSmoking"
"2046","cg09747445",-0.007,3.14e-07,"TLE3","mSmoking"
"2048","cg03814093",-0.009,3.15e-07,"KIAA0922","mSmoking"
"2051","cg02849309",0.008,3.18e-07,"PLAGL1","mSmoking"
"2052","cg18684142",0.022,3.18e-07,"LOC404266;HOXB6","mSmoking"
"2055","cg13707943",-0.005,3.19e-07,"FAM102A","mSmoking"
"2067","cg11904266",0.007,3.33e-07,"C8orf73","mSmoking"
"2068","cg04750536",0.006,3.33e-07,"RIN2","mSmoking"
"2070","cg03593471",0.015,3.37e-07,"-","mSmoking"
"2074","cg18608055",-0.009,3.4e-07,"SBNO2","mSmoking"
"2081","cg07725527",0.008,3.48e-07,"NAA16","mSmoking"
"2084","cg23372544",0.006,3.49e-07,"-","mSmoking"
"2086","cg15893360",-0.009,3.5e-07,"PXN","mSmoking"
"2089","cg17445936",-0.007,3.53e-07,"PRDM16","mSmoking"
"2090","cg14870539",-0.007,3.53e-07,"ANXA6","mSmoking"
"2091","cg03246914",-0.007,3.53e-07,"TUBB1","mSmoking"
"2094","cg16363586",-0.007,3.55e-07,"BST2","mSmoking"
"2096","cg01605984",-0.005,3.58e-07,"SNORD24;SNORD36B;MED22;RPL7A;SNORD36A","mSmoking"
"2100","cg05886321",-0.005,3.66e-07,"SIRT2;RINL","mSmoking"
"2101","cg02872930",-0.013,3.69e-07,"-","mSmoking"
"2102","cg12147622",-0.009,3.7e-07,"-","mSmoking"
"2103","cg00079023",0.005,3.74e-07,"PURA","mSmoking"
"2106","cg07241660",0.012,3.76e-07,"-","mSmoking"
"2108","cg06055763",0.009,3.77e-07,"HGF","mSmoking"
"2110","cg24019851",0.006,3.81e-07,"SEMA3B","mSmoking"
"2114","cg04484550",0.003,3.85e-07,"FLJ42875","mSmoking"
"2119","cg00936309",-0.008,3.88e-07,"COL11A2","mSmoking"
"2126","cg18716679",0.008,3.91e-07,"IDO2","mSmoking"
"2127","cg03048432",0.01,3.91e-07,"NIN","mSmoking"
"2128","cg09221960",0.006,3.92e-07,"-","mSmoking"
"2129","cg14145074",-0.005,3.94e-07,"ACTB","mSmoking"
"2132","cg14882481",0.005,3.95e-07,"ALKBH8","mSmoking"
"2133","cg26346621",0.007,3.97e-07,"-","mSmoking"
"2135","cg16696476",0.006,4.01e-07,"RANGRF;SLC25A35","mSmoking"
"2139","cg00320288",0.003,4.06e-07,"-","mSmoking"
"2141","cg08978665",-0.008,4.08e-07,"IL32","mSmoking"
"2147","cg00029284",-0.007,4.14e-07,"CUX2","mSmoking"
"2149","cg00091064",0.016,4.16e-07,"-","mSmoking"
"2150","cg22763586",-0.013,4.17e-07,"DLGAP2","mSmoking"
"2151","cg10993442",-0.006,4.18e-07,"RUNX3","mSmoking"
"2154","cg18454045",0.008,4.19e-07,"-","mSmoking"
"2155","cg00293996",-0.007,4.21e-07,"CLDN14","mSmoking"
"2163","cg17656608",0.006,4.26e-07,"-","mSmoking"
"2169","cg05625471",-0.005,4.35e-07,"ITGAM","mSmoking"
"2174","cg11758793",0.01,4.44e-07,"GJD3","mSmoking"
"2176","cg11679268",0.007,4.46e-07,"LY6G5C","mSmoking"
"2178","cg07831277",0.007,4.47e-07,"PIP4K2A","mSmoking"
"2181","cg07573717",-0.008,4.5e-07,"CAPZB","mSmoking"
"2186","cg16875057",0.007,4.53e-07,"STK39","mSmoking"
"2189","cg21126626",0.01,4.6e-07,"OCLN","mSmoking"
"2193","cg00378510",-0.013,4.64e-07,"LINGO3","mSmoking"
"2196","cg25212131",0.011,4.66e-07,"SLC25A2","mSmoking"
"2197","cg22079008",-0.002,4.67e-07,"-","mSmoking"
"2199","cg15090440",-0.01,4.69e-07,"PRDM16","mSmoking"
"2200","cg14906690",0.011,4.73e-07,"-","mSmoking"
